text,likes,info,image
who is csk new captain,344K,MS Dhoni has handed over Chennai Super Kings' captaincy to Ruturaj Gaikwad ahead of the start of IPL 2024. Ruturaj Gaikwad has been an integral part of Chennai Super Kings since 2019 and has played 52 matches in IPL during this period. The team looks forward to the upcoming season,"https://crictoday.com/wp-content/uploads/2021/06/Ruturaj-Gaikwad.jpg"
csk won 5 ipl trophies,77M,msd is captain of csk won 5 ipl trophies and last year winningt team and he is former world cup winning captain,"https://ss-i.thgim.com/public/incoming/6hrnzl/article66909874.ece/alternates/FREE_1200/champ.JPG"
can csk win 6th ipl trophy,53M,msd is captain of csk won 5 ipl trophies and last year winningt team and he is former world cup winning captain,"https://www.hindustantimes.com/ht-img/img/2024/03/22/550x309/ANI-20240322345-0_1711132737046_1711132749551.jpg"
most expensive ipl pick mitchel stark,863K,"kkr bought stark for 24cr,He was bought by Kolkata Knight Riders (KKR) for ?24.75 crore. IPL Auction 2024: Australia's Mitchell Starc surpasses Pat Cummins to become the most expensive player in IPL history, goes to KKR for ?24.75 crore.","https://d25qcccc9wk2aa.cloudfront.net/public/uploads/blog/2023/12/51c10f1c-f198-46b7-abf3-6b2753eb6977-1703058030.webp"
2nd most expensive player in ipl pat cummins,342k,"srh bought pat cummins for 20cr,Pat Cummins sold for Rs 20.5 crore to SRH, becomes 2nd most expensive player in IPL history.","https://www.athletesvoice.com.au/wp-content/uploads/2019/12/AV_CUMMINS_1280x720.jpg"
mi won 5 ipl trophies,45M,"mi won trophies in Rohit captancy,Mumbai Indians won the IPL in 2013, 2015, 2019, 2019 and 2020 whilst finishing runners-up once in 2010. Rohit Sharma led MI to all of their five titles, which makes him the joint-most successful captain in the IPL alongside Dhoni.","https://newsroompost.com/wp-content/uploads/2023/04/rohit-with-5-trophies-1-1000x600.jpg"
can mi win 6th ipl trophy,322K,Rohit no longer captain of mi and current captain of india,"https://im.rediff.com/cricket/2020/nov/11mumbai-win1.jpg?w=670&h=900"
mi new captain hardik,644K,"Hardik Pandya taking over the captaincy role was a big change for Mumbai Indians, a franchise that won five IPL titles under the leadership of Rohit Sharma.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3ijxYAiCTe2QgfXATH6AQCwlznVo9uVIArJiYiFVlCg&s"
rohit is no longer captain of mi,630K,Hardik is new captain of mi replacing rohit but still rohit is indian cricket captain in all formats,"https://akm-img-a-in.tosshub.com/aajtak/images/story/202404/6618efa96b35d-rohit-sharma-122407526-16x9.jpg?size=948:533"
virat steps down as captain of rcb,51M,rcb new captain is faf du plesis virat steps down as captain in all formats,"https://images.indianexpress.com/2021/09/kohli-8.jpg"
rcb made the top trade of all time in ipl,643K,rcb made the expensive trade of all time,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQE2l7gj9qKVGgvJB6uhENDzEcI5eNbgStspiQGn_hiQw&s"
aus won cricket world cup 2023,548M,2023 cricket worldcup winner Aus and finalist is india,"https://img.jagranjosh.com/images/2023/November/19112023/2023-odi-world-cup-winner-australia.webp"
india made a record of 10 wins in cricket world cup,95M,10 consecutive wins for India in 2023 cricket worldcup,"https://i0.wp.com/www.insidesport.in/wp-content/uploads/2023/09/Team-India-7.jpeg?strip=all"
india vs aus final cricket world cup,85M,2023 world cup finals India vs Aus and Aus won the cup,"https://bsmedia.business-standard.com/_media/bs/img/article/2023-10/08/full/1696744017-1253.jpg"
rohit sharma,520M,"Rohit Gurunath Sharma is an Indian international cricketer who currently captains the India national cricket team across all formats. He is a right-handed batsman. Considered one of the best batsmen of his generation and one of the greatest opening batters of all time,[3] Sharma is known for his timing, elegance, six-hitting abilities and leadership skills. ","https://images.moneycontrol.com/static-mcnews/2023/09/Rohit-Sharma.jpg?impolicy=website&width=1600&height=900"
virat kholi,600M,"Virat Kohli is an Indian international cricketer and the former captain of the Indian national cricket team. He is a right-handed batsman and an occasional medium-fast bowler. He currently represents Royal Challengers Bengaluru in the IPL and Delhi in domestic cricket. Kohli is widely regarded as one of the greatest batsmen of all time. He holds the record as the highest run-scorer in T20I and IPL, ranks third in ODI, and stands as the fourth-highest in international cricket.He also holds the record for scoring the most centuries in ODI cricket and stands second in the list of most international centuries scored. ","https://timesofindia.indiatimes.com/photo/104569839/104569839.jpg"
ms dhoni,95M,"Mahendra Singh Dhoni is an Indian professional cricketer. He is a right handed batter and a wicket-keeper. Widely regarded as one of the most prolific wicket-keeper-batsmen and captains, he represented the Indian cricket team and was the captain of the side in limited-overs formats from 2007 to 2017 and in test cricket from 2008 to 2014. Dhoni has captained the most international matches and is the most successful Indian captain. He has led India to victory in the 2011 Cricket World Cup, the 2007 ICC World Twenty20 and the 2013 ICC Champions Trophy, the only captain to win three different limited overs tournaments. He also led the teams that won the Asia Cup in 2010, 2016 and was a member of the title winning squad in 2018.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs4N2OOYIdicmNnjrL11sfsm10hKOe41lk-o89tY4LlQ&s"
virat and rcb,785K,Virat plays for RCB from 2008 till today,"https://images.news18.com/ibnlive/uploads/2022/05/virat-kohli-23.jpg"
mi and rohit,584K,Rohit is the captain who brought 5 ipl trophies for mi,"https://circleofcricket.com/post_image/post_image_aeb8381.jpg"
csk and dhoni,646K,dhoni is the captain who brought csk their 5 ipl trophies,"https://www.mykhel.com/img/2023/05/ms-dhoni-csk-1684140928.jpg"
ipl has 10 teams,214K,"CSK, MI, LSG, SRH, GT, KKR, RCB, RR, PK, DC","https://www.nalandaopenuniversity.com/wp-content/uploads/2023/11/IPL-2024-SCHEDULE-TEAMS-1024x683.jpg"
"csk, mi, rcb best ipl teams",100M,"CSK, MI, RCB has the biggest fanbase in ipl ","https://www.insidesport.in/wp-content/uploads/2021/04/WhatsApp-Image-2021-04-23-at-3.29.43-PM.jpeg"
covid 19 has ended,150M,covid 19 the pandamic caused all world to lockdown for more than a year,"https://static.toiimg.com/photo/88853582.cms"
due to covid many lost jobs,555K,"In addition to vaccines, job creation is another major priority area for India, since numbers as of July state that over 3.2 million people lost their jobs due to the pandemic. The health of the SME sector particularly is concerning, having faced the brunt of the pandemic on the back of repeated lockdowns.","https://imageio.forbes.com/specials-images/imageserve/5eb1d1f53062c60007793327/Factory-shutdown-due-to-outbreak-of-Coronavirus-Disease-2019-or-COVID-19-/960x0.jpg?format=jpg&width=960"
due to covid 19 lockdown was implemented,450K,due to covid 19 whole world went 2 years lockdown,"https://www.sharda.ac.in/blog/attachments/blog_images/How-can-students-best-utilize-their-time-during-lockdown-min.jpg"
covid new varient,500K,"As of April 2, 2024, the SARS-CoV-2 Omicron variant JN.1 has very high prevalence in the United States, with CDC Nowcast projections estimating JN.1 to account for more than 95% of all COVID-19 illnesses in the US.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxL3ZqipoHhAe-oaVB5_We2vnBT-dzeEA9_PYf4X_OIw&s"
everything become online due to covid,625K,"As lockdowns became the new normal, businesses and consumers increasingly “went digital”, providing and purchasing more goods and services online, raising e-commerce's share of global retail trade from 14% in 2019 to about 17% in 2020.","https://www.chathamhouse.org/sites/default/files/styles/12_6_media_huge/public/2020-11/2020-11-16-how-covid-changed-lives-hero-2.jpg?h=e2bcc475&itok=KzcVA-HW"
china is the reason of covid,51M,covid first started in china and spread across whole world,"https://lh3.googleusercontent.com/proxy/Y3PXmqc0DUCxPgnj06b5iO_-XIEcM8kO16rk6gz715uX6iwNARj0_qKLCxSCUfWAn53ubRTdLAjitl1sPxx5GSMRkyj4_4f76RDm4eCQSMo39k9DZOxBIR8d_64"
india ban china products,980K,"The government of India has ordered to ban around 250 Chinese apps citing them to be “prejudicial to the sovereignty and integrity of India, defence of India, security of the state and public order”. Apps like TikTok, Xender, Shein, Camscanner were widely used in India and had millions of downloads. Ban on popular mobile games like PUBG Mobile and Garena Free Fire shocked not only the players but also the Esports community of the country.","https://inc42.com/wp-content/uploads/2023/02/inda-bet-ban-featured--760x570.png"
happy new year 2024,99M,the start of a new year and the end of old year,"https://d1csarkz8obe9u.cloudfront.net/posterpreviews/2024-happy-new-year-2024-image-vector-illustr-design-template-2fbde5bb76432315577147cdc9499943_screen.jpg?ts=1702603817"
t20 worldcup 2024,267K,"20 Teams will participate in the 2024 T20 World Cup, divided into four groups of five and follow a single round-robin format. The tournament will be played from June 4, 2024, to June 30, 2024. England are the defending champions, having won the very exciting 2022 T20 World Cup. West Indies and USA are hosting t20 world cup 2024.","https://d16f573ilcot6q.cloudfront.net/wp-content/uploads/2022/11/T20-World-Cup-2024-1.jpg"
ipl 2024,752K,IPL 2024 starts at march 22nd,"https://y20india.in/wp-content/uploads/2024/03/IPL-2024-Points-Table.webp"
due to ai unemployment increased,741K,"On the one hand, the adoption of AI could create new jobs, complement existing work, raise worker productivity, lift wages, boost economic growth, and increase living standards. On the other hand, AI could displace workers, erode job quality, increase unemployment, and exacerbate inequities.","https://imageio.forbes.com/blogs-images/cognitiveworld/files/2018/08/1_GQm0ZlcZVltBd_9XwJGyNw-S1.jpg?height=293&width=711&fit=bounds"
new ai tool chatgpt,850K,Chat GPT got more succes than other AI tools,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVBapBB6F4BUM2oWrbnXjC0RLFGUHhZwpAWyx3HmF0jg&s"
ai raise,8M,AI started rising and expected to grow even more,"https://cdn-gcp.new.marutitech.com/robot_humanoid_using_tablet_computer_big_data_analytic_1_94eab7101e.jpg"
can rcb won 1st ipl trophy,26M,2024 ipl who will win its tough compitetion can rcb make it lets see ipl 2024 in march,"https://pbs.twimg.com/media/FBb67RrUUAIjtMM.jpg"
russia vs ukraine,584M,"The Russo-Ukrainian War is an ongoing war between Russia and Ukraine, which began in February 2014. Following Ukraine's Revolution of Dignity, Russia occupied and annexed Crimea from Ukraine and supported pro-Russian separatists fighting the Ukrainian military in the Donbas war.","https://www.livelaw.in/h-upload/2022/03/03/411050-putin-zelensky-russia-and-ukraine-sc.jpg"
support ukrine,157M,"The majority of committed support by country has come from the United States, whose total aid commitment is valued at about $75 billion. The U.S. is followed by Germany and the United Kingdom for highest commitments overall. The European Union as a whole has committed approximately $93 billion in aid to Ukraine.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjtE-7MiDOx0KIy_Wbrnxg_uuLSUFqc5Xmi0mrp4AhhQ&s"
support russia,147M,"The Collective Security Treaty Organization (CSTO) is an intergovernmental military alliance in Eurasia consisting of six post-Soviet states: Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia, and Tajikistan, formed in 2002","https://assets.nst.com.my/images/articles/RUSSIA-POLITICS-PUTIN_0108n01_1693557906.jpg"
jai shree ram,99M,Jai Shree Ram is the mantra of the devotees of the Hindu god Ram. ,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdDwB4Rr3737WJ00eiCBm1UQ1H16PyViDSFlNTrUCSzA&s"
ayodhya,854M,Ayodhya construction is completed visitors can go for viewing,"https://www.aljazeera.com/wp-content/uploads/2024/01/AP24022264190466-1705913013.jpg?resize=770%2C513&quality=80"
pm modi to inaugurate ayodhya,975M,PM Modi inaugrate Ayodhya on  22 jan 2024,"https://images.news18.com/ibnkhabar/uploads/2024/01/PM-Modi-Ayodhya-1200-2024-01-a3e3f26f9a1bbd4636d304c33bbd623f.jpg?impolicy=website&width=400&height=300"
india pm is modi,789K,Current prime minster of India is Modi,"https://www.livemint.com/lm-img/img/2023/08/14/1600x900/PTI08-06-2023-000031A-0_1692022172230_1692022193566.jpg"
ap cm is jagan,420K,Current chef minister of AP is Jagan,"https://play-lh.googleusercontent.com/M0bNOzeF-xs-0_CvsPnCitsI4iGODTo4CYAfz93rPOknGIdm2g9-FI4X8HXP8sABFlY"
jagan inaugurate br ambedkar statue,25K,Jagan to inagurate DR BR Ambedkar statue in PWD grounds Vijayawada,"https://cdn.gulte.com/wp-content/uploads/2024/01/img_7145-1.jpg"
vit ap,54K,"VIT-AP University (VIT-AP), also known as Vellore Institute of Technology, Andhra Pradesh or VIT University, Andhra Pradesh, is a state private university located in Inavolu, Amaravati, the capital of Andhra Pradesh, India.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu6v8wLr7iit815OnMG9E5PJozYRCTKRJkpaGKPcbmsw&s"
vit bhopal,24K,VIT Bhopal Engeneering University located in MP,"https://hindupost.in/wp-content/uploads/2022/07/image-66.png"
vit,85K,"Vellore instute of technology Engeenering University, has 4 branches, located in vellore, chenni, Ap, Bhopal","https://i.ytimg.com/vi/JA3t27eBL3M/sddefault.jpg"
vit vellore,544K,VIT University engeneering main branch located in TN,"https://images.shiksha.com/mediadata/images/1664721059phpQKCqHM.jpeg"
india vs pakistan,80M,"At senior level, India has won 5 ICC trophies (2 Cricket World Cup, 1 T20 World Cup, 2 Champions Trophy), while Pakistan has won 3 (1 Cricket World Cup, 1 T20 World Cup, and 1 Champions Trophy). At the junior level, India has won 5 Under-19 World Cups, while Pakistan has won it twice.","https://www.hindustantimes.com/ht-img/img/2023/10/12/550x309/gettyimages-1705234375-594x594_1697132808261_1697132827597.jpg"
india is great,99M,"India is a great country having different cultures, castes, creed, religions but still, they live together. India is known for its heritage, spices, and of course, for people who live here. That's the reasons India is famous for the common saying of “unity in diversity”.","https://media.licdn.com/dms/image/D4D12AQGJKXGyuVAFkg/article-cover_image-shrink_600_2000/0/1692690571168?e=2147483647&v=beta&t=uTqkcXhBWZYam9JsOZ4dsiyugeV216ELfTwhnBGVZVA"
Covid19,123M,"COVID-19, short for ""Coronavirus Disease 2019,"" is a respiratory illness caused by the novel coronavirus SARS-CoV-2. It was first identified in December 2019 in Wuhan, China, and has since spread globally, leading to a pandemic. COVID-19 can cause a range of symptoms, from mild cold-like symptoms to severe respiratory illness and pneumonia, especially in older adults and those with underlying health conditions.","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202203/ezgif-sixteen_nine_237.jpg?size=948:533"
Vaccine,62K,Vaccines are biological preparations that provide immunity to a specific infectious disease. They work by stimulating the immune system to recognize and remember the disease-causing organism (such as a virus or bacterium) so that it can quickly respond and eliminate the pathogen if the body is exposed to it in the future,"https://cloudfront-us-east-2.images.arcpublishing.com/reuters/RBA4AXZ76BKADNLQK7R7BA6Q2E.jpg"
zoom,64M,"Zoom began as a small company with a simple mission: to make video communications frictionless. Here's a look at how we've grown over the past 10 years. Eric Yuan founded Zoom with a goal to build the best video conferencing solution on the market. With a team of 40 engineers, he spent two years doing just that.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvU-WTkOjr-jQr76HOVCfucHFetAsaU_4aeeb_GefQhQ&s"
Bitcoin,355M,"Bitcoin is a digital currency that was created in 2009 by an unknown person or group of people using the pseudonym Satoshi Nakamoto. It is the first decentralized cryptocurrency, meaning it operates without a central authority or government controlling it","https://thumbor.forbes.com/thumbor/fit-in/900x510/https://www.forbes.com/advisor/in/wp-content/uploads/2022/03/pexels-pixabay-315788-scaled.jpg"
NFT,500M,"NFT stands for non-fungible token. It is a type of digital asset that represents ownership or proof of authenticity of a unique item or piece of content using blockchain technology. Unlike cryptocurrencies such as Bitcoin or Ethereum, which are fungible and can be exchanged on a one-to-one basis, NFTs are unique and cannot be exchanged equivalently.","https://vajiram-prod.s3.ap-south-1.amazonaws.com/What_are_Non_Fungible_Tokens_NF_Ts_8afdd6cac8.jpg"
