text,likes,info,image
Elon Musk,978M,"Elon Musk is a South African-born entrepreneur and business magnate known for his work in the technology and automotive industries. He is the CEO and lead designer of SpaceX, CEO and product architect of Tesla, Inc., and founder of The Boring Company and Neuralink. Musk is also a co-founder of PayPal.","https://futureoflife.org/wp-content/uploads/2020/08/elon_musk_royal_society.jpg"
Amazon,300M,"Amazon is a multinational technology company based in Seattle, Washington, USA. Founded by Jeff Bezos in 1994, Amazon started as an online bookstore but quickly diversified its product offerings to include a wide range of goods and services, including electronics, apparel, furniture, and cloud computing services.","https://st.adda247.com/https://wpassets.adda247.com/wp-content/uploads/multisite/sites/5/2022/11/16140212/L2aCmYvS-amazon1-1200x675-1.jpg"
Tesla,43M,"Tesla, Inc. is an American electric vehicle (EV) and clean energy company founded by Elon Musk, Martin Eberhard, Marc Tarpenning, JB Straubel, and Ian Wright. Established in 2003, Tesla is headquartered in Palo Alto, California.","https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/tesla_647_010716105350.jpeg?size=690:388"
Iphone,333M,"The iPhone is a line of smartphones designed and marketed by Apple Inc. It was first introduced in 2007 by then-CEO Steve Jobs, and since then, Apple has released multiple generations of the iPhone, each featuring new hardware and software innovations.","https://images.expertreviews.co.uk/wp-content/uploads/2023/10/Apple-iPhone-14-Pro-review-11.jpg?width=626&height=352&fit=crop&format=webply"
Remote Work,59K,"Remote work, also known as telecommuting or telework, refers to working from a location other than a traditional office. Remote work has become increasingly popular in recent years, enabled by advancements in technology that allow employees to stay connected and collaborate with colleagues regardless of their physical location.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYt1dyY3PzbreeaSHFMXH-IknI2DbNC8tkBozAaQeZ-A&s"
TikTok,22M,"TikTok is a social media platform for creating, sharing, and discovering short music videos, often featuring lip-syncing, dancing, and other creative performances. It was launched in 2016 by the Chinese company ByteDance and has since become one of the most popular social media apps worldwide, particularly among younger users.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6HNllwLhtUNQ_GOozfgMChTOW0-u66EOUNJqrR3C_JA&s"
Instagram,500M,"Instagram is a popular social media platform owned by Meta Platforms (formerly Facebook, Inc.). It was launched in 2010 and has since grown to become one of the most widely used social networking services in the world.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Instagram_logo_2022.svg/1200px-Instagram_logo_2022.svg.png"
Facebook,39M,"Facebook is a social networking platform founded by Mark Zuckerberg and his college roommates in 2004. Initially launched as a platform for Harvard University students, Facebook quickly expanded to other universities and eventually became available to anyone aged 13 and older with a valid email address.","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202306/meta12-sixteen_nine.jpg?size=948:533"
Youtube,400M,"YouTube is a video-sharing platform that allows users to upload, view, rate, share, and comment on videos. It was founded in 2005 by three former PayPal employees and was acquired by Google in 2006.","https://sm.mashable.com/t/mashable_in/news/y/youtube-an/youtube-announces-new-applause-feature-that-allows-users-to_jwkv.1248.jpg"
Netflix,87M,"Netflix is a popular streaming service that offers a wide variety of TV shows, movies, documentaries, and other content across a wide range of genres and languages. It was founded in 1997 as a DVD rental service and later transitioned to a streaming service in 2007.","https://about.netflix.com/images/meta/netflix-symbol-black.png"
Olympics,27M,"The Olympics, formally known as the Olympic Games, is a major international multi-sport event featuring summer and winter sports competitions. The Olympics are held every four years, with the Summer and Winter Games alternating by occurring every two years","https://blog.ipleaders.in/wp-content/uploads/2017/07/BV-Acharya-90.jpg"
Black Lives Matter,13M,"  Black Lives Matter (BLM) is a decentralized political and social movement[1] that seeks to highlight racism, discrimination, and racial inequality experienced by black people, and promote anti-racism. Its primary concerns are incidents of police brutality and racially motivated violence against black people","https://assets.teenvogue.com/photos/5780286c2fd18be463501ad6/16:9/w_2560%2Cc_limit/blm.jpg"
India vs England,42M,"India vs England 5th test Highlights: Ind vs Eng, India beat England by an innings and 64 runs in the final test to win the five-match series 4-1 at the Himachal Pradesh Cricket Association Stadium on Saturday.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEM7bzF6H_V-cbBmmJK0VtkngIi3BGHn-d1A&s"
Ukraine,23M,"Ukraine is often called the “Breadbasket of Europe” because it boasts the ideal conditions for growing wheat, and is a major producer of the stuff. 9. One of the most unique tourist attractions in Ukraine is the so-called 'Tunnel of Love'.","https://hertieschool-f4e6.kxcdn.com/fileadmin/_processed_/f/d/csm_Ukraine_Press_Release_203108c592.png"
World Cup,13M,different sports conducts different worldcups cricket worldcup football worldcup and hocky worldcup,"https://images.moneycontrol.com/static-mcnews/2023/09/World-Cup-cricket-770x431.jpg?impolicy=website&width=770&height=431"
Will Smith,23M,"famous hollywood actor,Will Smith is an American actor and producer. He has had a successful career in film, television, and music. Smith first gained prominence as a rapper under the name The Fresh Prince in the late 1980s and early 1990s","https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Will_Smith_by_Gage_Skidmore_2.jpg/800px-Will_Smith_by_Gage_Skidmore_2.jpg"
Prabhas,34M,"famous indian actor,Prabhas is an Indian actor who primarily works in Telugu, Tamil, and Hindi films. He gained widespread popularity for his role in the blockbuster film ""Baahubali: The Beginning"" and its sequel ""Baahubali 2:","https://cdn.siasat.com/wp-content/uploads/2021/06/prabhas.jpg"
RamCharan,31M,"Konidela Ram Charan (born 27 March 1985) is an Indian actor, producer, and entrepreneur who primarily works in Telugu cinema. He is one of the highest-paid actors in Indian cinema and has featured in Forbes India's Celebrity 100 list since 2013. Charan is the recipient of several awards, including three Filmfare Awards and two Nandi Awards.","""https://cdn.123telugu.com/content/wp-content/uploads/2022/10/Ram-Charan-m.jpg"""
NTR,43M,"Nandamuri Taraka Rama Rao Jr. (born 20 May 1983), also known as Jr. N.T.R. or Tarak, is an Indian actor who primarily works in Telugu cinema. One of the highest paid Telugu film actors, Rama Rao has won several accolades, including two Filmfare Awards, two state Nandi Awards, and four CineMAA Awards. Since 2012, he has been featured in Forbes India's Celebrity 100 list","https://www.telugu360.com/wp-content/uploads/2022/05/Jr-NTR-9.jpg"
Rajamouli,13M,"telugu movie director who  got fame from his movies RRR, Baahubali,Koduri Srisaila Sri Rajamouli ( born 10 October 1973) is an Indian director and screenwriter who primarily works in Telugu cinema. He is known for his epic, action and fantasy genre films. He is the highest grossing Indian director of all time, as well as the highest-paid director in India","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202207/ss_rajamouli-sixteen_nine.jpg"
India,310M,"India, officially known as the Republic of India, is a country located in South Asia. It is the seventh-largest country by land area and the second-most populous country in the world, with over 1.3 billion people.Culturally, India is known for its vibrant festivals, diverse cuisine, and traditional arts such as music, dance, and literature,India is also known for its rich biodiversity, with a wide variety of flora and fauna found across the country. Overall, India is a country with a rich cultural heritage, diverse economy, and significant global influence.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREtgfl5yw42Co9i7c8HjKg2MSmFZZlcWUO9w&s"
pakistan,500K,"Pakistan, officially the Islamic Republic of Pakistan, is a country in South Asia. It is the world's fifth-most populous country, with a population exceeding 240 million people.Islamabad is the capital city of Pakistan, while Karachi is the largest city and the country's economic hub,In 1947, Pakistan gained independence from British rule, along with India, following the partition of the Indian subcontinent.","https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iYCD0WXxZyzE/v0/-1x-1.jpg"
china is the reason of covid,420K,"The origin of COVID-19, the disease caused by the novel coronavirus SARS-CoV-2, is a topic of ongoing scientific investigation,The Chinese government has faced criticism for its initial handling of the outbreak, including allegations of censorship and lack of transparency.  ","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbaYWZsLbX1W6xHl0nCbRye8BzVc7eVW1nCD8kXWaEJw&s"
csk,455K,"Chennai Super Kings (CSK) is a franchise cricket team based in Chennai, Tamil Nadu, India.CSK is known for its strong fan base, often referred to as the ""Yellow Army,"" and for its consistent performance in the IPL. The team is captained by MS Dhoni, who is considered one of the greatest captains in cricket history","https://i.pinimg.com/736x/df/48/0f/df480fe1db90eb2b5722b853860bd75e.jpg"
csk win 2024 ipl,32M,"csk alredy have 5 trophies,Chennai Super Kings have been the most consistent team of the IPL since its inception in 2008. They made it to 12 playoffs in 14 seasons, played in the final 10 times, and won the title five times, which is the most by any team.","https://crictoday.com/wp-content/uploads/2023/02/CSK-2023-1.jpg"
mi win 2024 ipl,130K,mi alredy have 5 trophies,"https://y20india.in/wp-content/uploads/2024/04/mi-squad-ipl-2024-sportstiger-1702967642348-original.jpg"
rcb win 2024 ipl,245K,"rcb has no trophies,One of the original eight teams in the IPL, the team has made three final appearances in the IPL, losing all (in 2009 to the Deccan Chargers, in 2011 to the Chennai Super Kings and in 2016 to the Sunrisers Hyderabad). The team also finished runners-up in the 2011 CLT20, losing the final against the Mumbai Indians.","https://pbs.twimg.com/media/F_3FM2eakAA-qmy.jpg:large"
prabhas movie salar superhit,244K,prabhas top telugu actor and famous in the whole world,"https://www.bollywoodhungama.com/wp-content/uploads/2023/12/Salaar-16.jpg"
RRR,2422K,"RRR is a 2022 Indian Telugu-language epic period action drama film directed by S. S. Rajamouli, who co-wrote the film with V. Vijayendra Prasad.RRR is a fictional story based on the lives of two Telugu freedom fighters, Alluri Sitarama Raju and Komaram Bheem. The two roles are played by Ram Charan and Jr NTR, respectively. RRR talks about bromance, friendship and their fight against the British.","https://m.media-amazon.com/images/M/MV5BOGEzYzcxYjAtZmZiNi00YzI0LWIyY2YtOTM0MDFjODU2YTZiXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg"
ipl,434K,"The Indian Premier League (IPL) is a professional Twenty20 cricket league in India. It was founded by the Board of Control for Cricket in India (BCCI) in 2007, with the first season taking place in 2008. The IPL has quickly become one of the most popular and lucrative cricket leagues in the world.","https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1200px-Indian_Premier_League_Official_Logo.svg.png"
TATA,30M,"Tata Group is a multinational conglomerate headquartered in Mumbai, India. It was founded in 1868 by Jamsetji Tata and has since grown into one of India's largest and most respected business conglomerates, with operations in more than 100 countries across six continents.","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202209/bv-acharya-3_1-sixteen_nine.jpg"
ipl 2024,435K,"Indian premier league 2024 its an indian cricket league where worldwide players will get chance to play,The 2024 Indian Premier League (IPL) promises to be an exciting season, featuring top cricketing talent from around the world. With each team aiming for the coveted IPL trophy, the competition is expected to be fierce","https://img.jagranjosh.com/images/2024/February/2222024/ipl-2024-tickets-sale-compressed.webp"
Modi,34M,"Indian Prime Minister (BJP),Narendra Modi is an Indian politician serving as the 14th and current Prime Minister of India since May 2014. He is a member of the Bharatiya Janata Party (BJP) and the Rashtriya Swayamsevak Sangh (RSS), a Hindu nationalist volunteer organization","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0laVIc9IBDdvK-b0YsbsaJReUImtXlbbmVch2Jl0jug&s"
BJP,532K,"Bharatiya Janata Party,The organisation of the BJP is strictly hierarchical, with the president being the highest authority in the party. The party is considered to be a cadre-based party that draws from the Hindutva-based ideology of its parent organisation","https://cdn.britannica.com/42/213242-050-CA42146E/Rally-Bharatiya-Janata-Party-BJP-Narendra-Modi-India-April-2019.jpg"
Lord Rama,345M,"Hindu God,Rama, the Hindu god, is the seventh avatar of the god Vishnu. In Hindu mythology, an avatar is an animal or human form into which a god can incarnate in order to counterbalance some opposing evil. Vishnu has ten avatars, depending on local stories in each area where he is worshiped.","https://i.pinimg.com/736x/ed/d7/7f/edd77f3d9f98e6d770d5f036a0637876.jpg"
CSE student,322K,"Engeering Btech program ,The Full Form of CSE is Computer Science Engineering. Computer science is an essential aspect of this engineering course for the creation of the computer system.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9lju4Ivx0M2rv7dXmL8WP-9nt0dYwrj61PseiVfgfLg&s"
Cricket,700M,"Cricket is a bat-and-ball game that is played between two teams of eleven players on a field at the centre of which is a 22-yard (20-metre) pitch with a wicket at each end, each comprising two bails balanced on three stumps. Two players from the batting team (the striker and nonstriker) stand in front of either wicket, with one player from the fielding team (the bowler) bowling the ball towards the striker's wicket from the opposite end of the pitch. The striker's goal is to hit the bowled ball and then switch places with the nonstriker, with the batting team scoring one run for each exchange. Runs are also scored when the ball reaches or crosses the boundary of the field or when the ball is bowled illegally.","https://ivypanda.com/essays/wp-content/uploads/2020/05/97876_6.jpg"
football,900M,"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal. Unqualified, the word football normally means the form of football that is the most popular where the word is used. Sports commonly called football include association football (known as soccer in Australia, Canada, South Africa, the United States, and sometimes in Ireland and New Zealand); Australian rules football; Gaelic football; gridiron football (specifically American football, Arena football, or Canadian football); International rules football; rugby league football; and rugby union football. These various forms of football share, to varying degrees, common origins and are known as ""football codes"".","https://img.olympics.com/images/image/private/t_s_pog_staticContent_hero_xl_2x/f_auto/primary/ngdjbafv3twathukjbq2"
Basketball,25OK,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball (approximately 9.4 inches (24 cm) in diameter) through the defender's hoop (a basket 18 inches (46 cm) in diameter mounted 10 feet (3.048 m) high to a backboard at each end of the court), while preventing the opposing team from shooting through their own hoop. A field goal is worth two points, unless made from behind the three-point line, when it is worth three. After a foul, timed play stops and the player fouled or designated to shoot a technical foul is given one, two or three one-point free throws. The team with the most points at the end of the game wins, but if regulation play expires with the score tied, an additional period of play (overtime) is mandated.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1vN20noPWrSPonCHtkM-oeRjIt-KXJVbjVN71s1Upvg&s"
Hockey,50M,"Hockey is a term used to denote a family of various types of both summer and winter team sports which originated on either an outdoor field, sheet of ice, or dry floor such as in a gymnasium. While these sports vary in specific rules, numbers of players, apparel, and playing surface, they share broad characteristics of two opposing teams using a stick to propel a ball or disk into a goal.

There are many types of hockey. Some games make the use of skates, either wheeled or bladed, while others do not. In order to help make the distinction between these various games, the word hockey is often preceded by another word i.e. field hockey, ice hockey, roller hockey, rink hockey, or floor hockey.","https://thumbs.dreamstime.com/b/hockey-player-ball-attack-playing-field-hockey-game-hockey-player-ball-attack-playing-field-hockey-game-blue-color-195111812.jpg"
